14	1	1.3527	14.0000	4	1	1
16	1	1.3163	16.0000	4	1	1
15	1	1.3367	15.0000	4	1	1
24	1	1.2568	24.0000	6	1	1
21	1	1.1806	21.0000	6	1	1
28	1	1.1654	28.0000	6	1	1
24	1	1.2824	24.0000	6	1	1
24	1	1.1304	24.0000	4	1	1
23	1	1.0813	23.0000	3	1	1
20	1	1.1337	20.0000	3	1	1
22	1	1.1202	22.0000	3	1	1
22	1	1.1021	22.0000	3	1	1
30	1	1.0600	30.0000	3	1	1
27	1	1.0585	27.0000	3	1	1
28	1	1.0600	28.0000	3	1	1
28	1	1.0472	28.0000	3	1	1
27	1	1.1473	27.0000	3	1	1
28	1	1.1692	28.0000	3	1	1
26	1	1.2420	26.0000	3	1	1
23	1	1.2622	23.0000	3	1	1
25	1	1.2343	25.0000	5	1	1
25	1	1.1709	25.0000	5	1	1
25	1	1.2250	25.0000	5	1	1
22	1	1.1885	22.0000	5	1	1
23	1	1.1566	23.0000	5	1	1
29	1	1.1364	29.0000	5	1	1
32	1	1.0588	32.0000	4	1	1
30	1	1.1268	30.0000	4	1	1
24	1	1.1655	24.0000	4	1	1
16	1	1.1858	16.0000	4	1	1
19	1	1.1938	19.0000	4	1	1
19	1	1.2703	19.0000	4	1	1
19	1	1.1876	19.0000	4	1	1
21	1	1.1437	21.0000	4	1	1
34	1	1.1103	34.0000	5	1	1
28	1	1.0430	28.0000	5	1	1
28	1	1.0205	28.0000	5	1	1
24	1	1.2033	24.0000	5	1	1
25	2	1.1381	12.5000	4	1	1
20	1	1.1682	20.0000	4	1	1
23	1	1.0602	23.0000	6	1	1
30	1	0.9483	30.0000	6	1	1
31	1	0.9489	31.0000	6	1	1
29	1	1.0671	29.0000	4	1	1
23	1	1.1128	23.0000	3	1	1
24	1	1.1126	24.0000	3	1	1
24	1	1.1009	24.0000	3	1	1
30	1	1.0806	30.0000	3	1	1
24	1	1.0785	24.0000	3	1	1
16	1	1.1656	16.0000	3	1	1
23	1	1.0081	23.0000	6	1	1
19	2	1.0519	9.5000	6	1	1
19	1	1.0413	19.0000	6	1	1
19	1	1.0524	19.0000	6	1	1
20	1	1.0178	20.0000	6	1	1
20	1	0.9963	20.0000	6	1	1
19	1	0.9634	19.0000	6	1	1
22	1	0.9950	22.0000	3	1	1
28	1	0.9429	28.0000	6	1	1
28	1	0.9200	28.0000	6	1	1
26	1	0.9743	26.0000	6	1	1
20	1	1.0303	20.0000	7	1	1
14	1	1.0618	14.0000	9	1	1
21	1	0.9955	21.0000	9	1	1
25	1	1.0185	25.0000	9	1	1
21	1	0.9821	21.0000	4	1	1
20	1	1.0246	20.0000	4	1	1
17	1	1.0901	17.0000	4	1	1
24	1	0.7604	24.0000	5	1	1
24	1	0.8062	24.0000	5	1	1
17	1	0.8839	17.0000	5	1	1
19	1	0.9838	19.0000	5	1	1
30	1	0.9311	30.0000	5	1	1
29	1	0.9206	29.0000	5	1	1
30	1	0.9001	30.0000	5	1	1
31	1	0.9992	31.0000	5	1	1
16	1	1.3781	16.0000	5	1	1
16	1	1.0004	16.0000	5	1	1
15	1	0.8907	15.0000	8	1	1
21	1	0.8913	21.0000	8	1	1
27	1	0.8679	27.0000	8	1	1
23	2	0.9448	11.5000	8	1	1
22	1	0.9567	22.0000	8	1	1
23	1	0.9129	23.0000	8	1	1
25	1	1.0561	25.0000	8	1	1
26	1	1.0916	26.0000	8	1	1
24	1	1.1863	24.0000	4	1	1
25	1	1.0861	25.0000	7	1	1
28	1	1.0325	28.0000	7	1	1
26	1	1.0437	26.0000	7	1	1
25	1	0.9879	25.0000	7	1	1
29	1	0.9655	29.0000	7	1	1
30	1	0.9657	30.0000	7	1	1
28	1	1.0199	28.0000	7	1	1
28	1	1.0530	28.0000	7	1	1
31	1	1.0198	31.0000	5	1	1
27	1	1.0859	27.0000	5	1	1
25	1	1.0966	25.0000	5	1	1
23	1	1.1185	23.0000	4	1	1
23	1	1.1603	23.0000	4	1	1
19	1	1.1165	19.0000	4	1	1
18	1	1.1053	18.0000	4	1	1
27	1	1.0039	27.0000	4	1	1
25	1	0.9819	25.0000	4	1	1
25	1	1.0047	25.0000	3	1	1
23	1	1.0265	23.0000	3	1	1
24	1	0.9920	24.0000	3	1	1
24	1	0.9276	24.0000	4	1	1
24	1	0.9279	24.0000	4	1	1
22	1	0.9830	22.0000	4	1	1
24	1	0.9723	24.0000	5	1	1
