32	1	0.9305	32.0000	4	1
10	3	0.9128	3.3333	55	1
26	1	1.0255	26.0000	5	1
22	1	0.9853	22.0000	7	1
28	1	0.9567	28.0000	5	1
23	1	1.1993	23.0000	4	1
118	1	1.4837	118.0000	13	1
25	1	1.1007	25.0000	15	1
23	1	1.0303	23.0000	10	1
16	1	0.9051	16.0000	14	1
26	1	1.1581	26.0000	14	1
24	1	1.0283	24.0000	3	1
18	1	1.0570	18.0000	16	1
24	1	1.1504	24.0000	4	1
20	1	1.0193	20.0000	14	1
25	1	0.9322	25.0000	14	1
18	1	1.5610	18.0000	14	1
16	1	1.0505	16.0000	14	1
19	1	1.0863	19.0000	14	1
26	1	1.0031	26.0000	14	1
23	1	1.1121	23.0000	14	1
26	1	1.0421	26.0000	5	1
26	1	1.0957	26.0000	13	1
24	1	0.9474	24.0000	15	1
19	1	0.9651	19.0000	10	1
26	1	1.0192	26.0000	5	1
17	1	0.9461	17.0000	14	1
28	1	0.8485	28.0000	14	1
28	1	0.9429	28.0000	5	1
21	2	1.0827	10.5000	15	1
21	1	1.0304	21.0000	14	1
15	1	1.0352	15.0000	5	1
18	1	1.0166	18.0000	14	1
252	1	9.0466	252.0000	0	1
19	1	0.9738	19.0000	4	1
27	1	0.9472	27.0000	14	1
20	1	1.1222	20.0000	7	1
25	1	0.8020	25.0000	14	1
15	1	1.1388	15.0000	7	1
15	1	0.9754	15.0000	4	1
25	1	0.9759	25.0000	15	1
22	1	0.8891	22.0000	18	1
23	1	1.1184	23.0000	14	1
23	1	0.9985	23.0000	5	1
29	1	0.8988	29.0000	6	1
31	1	0.7661	31.0000	6	1
31	1	1.3783	31.0000	18	1
32	1	0.9811	32.0000	14	1
18	1	0.9285	18.0000	14	1
11	1	1.2764	11.0000	14	1
26	1	1.0243	26.0000	15	1
15	1	0.9859	15.0000	4	1
26	1	1.0149	26.0000	14	1
23	1	0.9781	23.0000	11	1
21	1	0.9906	21.0000	14	1
35	1	0.6830	35.0000	10	1
30	1	0.8622	30.0000	10	1
22	1	0.8250	22.0000	6	1
7	1	1.4972	7.0000	30	1
20	1	0.7843	20.0000	11	1
13	1	0.9946	13.0000	15	1
24	1	1.1085	24.0000	14	1
19	1	1.0349	19.0000	15	1
